iter	Passed	Remaining
410	3978	5702
411	3988	5692
412	3999	5683
413	4008	5674
414	4019	5665
415	4028	5654
416	4038	5645
417	4048	5637
418	4057	5626
419	4067	5616
420	4076	5607
421	4086	5596
422	4096	5588
423	4106	5578
424	4116	5569
425	4124	5558
426	4134	5548
427	4145	5539
428	4155	5530
429	4164	5520
430	4173	5510
431	4183	5500
432	4193	5490
433	4203	5481
434	4214	5473
435	4223	5463
436	4233	5454
437	4243	5444
438	4253	5436
439	4264	5427
440	4274	5418
441	4284	5408
442	4295	5400
443	4304	5390
444	4314	5380
445	4323	5370
446	4334	5361
447	4345	5354
448	4355	5345
449	4366	5336
450	4376	5327
451	4385	5317
452	4396	5308
453	4406	5299
454	4416	5290
455	4425	5279
456	4436	5271
457	4446	5261
458	4455	5251
459	4465	5241
460	4476	5233
461	4487	5225
462	4497	5216
463	4507	5207
464	4517	5197
465	4526	5186
466	4535	5176
467	4543	5165
468	4552	5154
469	4561	5143
470	4569	5132
471	4579	5122
472	4590	5114
473	4601	5105
474	4610	5096
475	4620	5086
476	4629	5075
477	4639	5066
478	4648	5055
479	4658	5047
480	4668	5036
481	4677	5026
482	4687	5017
483	4697	5007
484	4707	4998
485	4716	4988
486	4726	4979
487	4737	4970
488	4746	4959
489	4755	4949
490	4764	4939
491	4774	4929
492	4783	4919
493	4794	4911
494	4805	4902
495	4816	4893
496	4824	4883
497	4835	4873
498	4845	4864
499	4854	4854
500	4864	4844
501	4873	4834
502	4882	4824
503	4892	4814
504	4902	4805
505	4913	4796
506	4923	4787
507	4932	4777
508	4943	4768
509	4952	4758
510	4963	4749
511	4973	4739
512	4982	4729
513	4993	4721
514	5004	4712
515	5014	4703
516	5024	4693
517	5033	4683
518	5042	4673
519	5052	4664
520	5063	4654
521	5072	4644
522	5081	4634
523	5090	4624
524	5101	4615
525	5109	4604
526	5119	4594
527	5128	4584
528	5137	4574
529	5147	4564
530	5156	4554
531	5167	4545
532	5177	4536
533	5186	4525
534	5195	4515
535	5208	4508
536	5217	4498
537	5229	4490
538	5239	4481
539	5250	4472
540	5260	4463
541	5270	4454
542	5281	4444
543	5291	4435
544	5300	4425
545	5311	4416
546	5322	4407
547	5333	4399
548	5345	4391
549	5355	4381
550	5366	4373
551	5377	4364
552	5388	4355
553	5397	4345
554	5408	4336
555	5417	4325
556	5426	4315
557	5436	4305
558	5445	4295
559	5456	4287
560	5466	4277
561	5475	4267
562	5485	4258
563	5495	4248
564	5504	4237
565	5513	4227
566	5523	4218
567	5534	4209
568	5543	4198
569	5553	4189
570	5564	4180
571	5575	4171
572	5583	4160
573	5593	4151
574	5602	4141
575	5612	4131
576	5622	4121
577	5631	4111
578	5640	4101
579	5649	4091
580	5659	4081
581	5668	4071
582	5677	4060
583	5687	4051
584	5698	4042
585	5710	4034
586	5719	4023
587	5731	4016
588	5742	4007
589	5752	3997
590	5762	3987
591	5773	3979
592	5783	3969
593	5792	3959
594	5802	3949
595	5812	3940
596	5821	3929
597	5830	3919
598	5839	3909
599	5847	3898
600	5857	3888
601	5865	3878
602	5875	3868
603	5884	3857
604	5892	3847
605	5903	3838
606	5912	3827
607	5922	3818
608	5932	3809
609	5942	3799
610	5952	3789
611	5961	3779
612	5974	3771
613	5987	3763
614	5998	3755
615	6010	3746
616	6022	3738
617	6033	3729
618	6044	3720
619	6054	3710
620	6065	3701
621	6075	3691
622	6084	3681
623	6093	3671
624	6103	3662
625	6112	3651
626	6123	3642
627	6133	3633
628	6142	3622
629	6151	3612
630	6161	3603
631	6170	3593
632	6179	3582
633	6189	3573
634	6199	3563
635	6209	3553
636	6218	3543
637	6228	3534
638	6239	3524
639	6248	3514
640	6258	3505
641	6269	3496
642	6279	3486
643	6288	3476
644	6299	3467
645	6309	3457
646	6319	3447
647	6330	3439
648	6342	3430
649	6352	3420
650	6362	3411
651	6372	3401
652	6382	3391
653	6391	3381
654	6400	3371
655	6410	3361
656	6420	3351
657	6430	3342
658	6440	3332
659	6450	3322
660	6459	3313
661	6470	3303
662	6480	3293
663	6489	3284
664	6498	3273
665	6508	3263
666	6517	3253
667	6526	3243
668	6535	3233
669	6544	3223
670	6553	3213
671	6563	3203
672	6572	3193
673	6582	3183
674	6592	3173
675	6601	3164
676	6611	3154
677	6619	3143
678	6629	3134
679	6638	3123
680	6646	3113
681	6656	3103
682	6665	3093
683	6675	3084
684	6685	3074
685	6694	3064
686	6705	3055
687	6714	3044
688	6724	3035
689	6733	3025
690	6742	3015
691	6752	3005
692	6761	2995
693	6771	2985
694	6780	2975
695	6790	2966
696	6800	2956
697	6811	2947
698	6820	2937
699	6829	2927
700	6839	2917
701	6848	2907
702	6857	2897
703	6868	2887
704	6879	2878
705	6888	2868
706	6897	2858
707	6906	2848
708	6915	2838
709	6925	2828
710	6934	2818
711	6942	2808
712	6951	2798
713	6960	2788
714	6970	2778
715	6980	2768
716	6990	2759
717	7001	2749
718	7011	2740
719	7020	2730
720	7030	2720
721	7040	2711
722	7050	2701
723	7060	2691
724	7069	2681
725	7078	2671
726	7088	2661
727	7097	2651
728	7107	2642
729	7117	2632
730	7126	2622
731	7136	2612
732	7146	2603
733	7154	2592
734	7163	2582
735	7172	2572
736	7182	2563
737	7192	2553
738	7202	2543
739	7212	2534
740	7222	2524
741	7232	2514
742	7240	2504
743	7249	2494
744	7259	2484
745	7269	2475
746	7280	2465
747	7289	2455
748	7299	2446
749	7310	2436
750	7320	2427
751	7330	2417
752	7340	2407
753	7350	2398
754	7361	2388
755	7371	2379
756	7380	2369
757	7389	2359
758	7399	2349
759	7410	2340
760	7420	2330
761	7429	2320
762	7438	2310
763	7448	2300
764	7457	2290
765	7468	2281
766	7478	2271
767	7488	2262
768	7497	2252
769	7508	2242
770	7517	2232
771	7526	2222
772	7535	2213
773	7545	2203
774	7557	2194
