iter	RMSE
253	5.846568413
254	5.845195816
255	5.844390438
256	5.843105384
257	5.841932235
258	5.840881692
259	5.838122454
260	5.836980194
261	5.835248099
262	5.834357646
263	5.833334176
264	5.831791538
265	5.831159616
266	5.828914233
267	5.827857412
268	5.826440981
269	5.825182537
270	5.823869739
271	5.822405184
272	5.821478484
273	5.820388529
274	5.819584542
275	5.817684674
276	5.816461511
277	5.815338831
278	5.813778942
279	5.812031034
280	5.810553458
281	5.80967221
282	5.808888562
283	5.807868903
284	5.80711453
285	5.805958693
286	5.805434441
287	5.804337696
288	5.803178841
289	5.802064444
290	5.800932582
291	5.799600685
292	5.799023367
293	5.797797611
294	5.796194377
295	5.794730576
296	5.793910047
297	5.792888631
298	5.791820339
299	5.791045717
300	5.79041432
301	5.788979163
302	5.787788101
303	5.78679578
304	5.785531935
305	5.783924937
306	5.78284311
307	5.781178172
308	5.779826629
309	5.779146524
310	5.77814351
311	5.777478335
312	5.776119991
313	5.775456765
314	5.773958476
315	5.77269451
316	5.771922273
317	5.771357726
318	5.770870192
319	5.769771715
320	5.768691022
321	5.767454843
322	5.766323133
323	5.765247119
324	5.764376679
325	5.763501515
326	5.762764049
327	5.76209296
328	5.761251495
329	5.759936208
330	5.757783061
331	5.756774807
332	5.755852363
333	5.754218665
334	5.753746558
335	5.752788803
336	5.752147913
337	5.751228993
338	5.749665262
339	5.748464959
340	5.747737341
341	5.746709596
342	5.745354004
343	5.744766554
344	5.743953592
345	5.742848158
346	5.742087195
347	5.741595681
348	5.739864025
349	5.738104605
350	5.737340969
351	5.736218571
352	5.734851988
353	5.734259728
354	5.733524982
355	5.732535345
356	5.731773805
357	5.730312654
358	5.729501215
359	5.728435435
360	5.727985303
361	5.727146544
362	5.726388805
363	5.72556821
364	5.724355435
365	5.723539815
366	5.722618675
367	5.721994433
368	5.721195264
369	5.719977986
370	5.718807054
371	5.717079051
372	5.715537725
373	5.714333571
374	5.713972877
375	5.712848501
376	5.712111896
377	5.711416081
378	5.710603094
379	5.709894914
380	5.707949702
381	5.706571773
382	5.705913075
383	5.705039059
384	5.703888176
385	5.703063569
386	5.702284634
387	5.70179521
388	5.700723747
389	5.699811426
390	5.699214986
391	5.698603023
392	5.697740349
393	5.697116393
394	5.696446568
395	5.695759958
396	5.695175747
397	5.694375701
398	5.692925775
399	5.691990484
400	5.691525897
401	5.690199846
402	5.688663715
403	5.687772518
404	5.687025579
405	5.686247641
406	5.685601052
407	5.685032089
408	5.68478823
409	5.684048257
410	5.683017037
411	5.682496535
412	5.680651669
413	5.679935076
414	5.67918821
415	5.678405079
416	5.677980288
417	5.677016539
418	5.676364985
419	5.674720534
420	5.674166892
421	5.673389766
422	5.672459032
423	5.671481423
424	5.670604796
425	5.669938139
426	5.669233316
427	5.668019636
428	5.667399369
429	5.666823224
430	5.66630344
431	5.665599441
432	5.66514239
433	5.664376537
434	5.663936
435	5.663520063
436	5.662017112
437	5.661425751
438	5.660531622
439	5.659790919
440	5.659259987
441	5.658476925
442	5.657542892
443	5.656865417
444	5.656414516
445	5.655894456
446	5.655083894
447	5.654509307
448	5.653458526
449	5.652330774
450	5.651850625
451	5.651107046
452	5.650647828
453	5.650075814
454	5.648818942
455	5.648080002
456	5.647133203
457	5.646430444
458	5.645772884
459	5.644524396
460	5.643610891
461	5.642629331
462	5.641966711
463	5.641306784
464	5.640878881
465	5.639936611
466	5.639380561
467	5.639004431
468	5.638578533
469	5.638195644
470	5.637429758
471	5.636880701
472	5.636258641
473	5.6353426
474	5.634510868
475	5.633966606
476	5.63342563
477	5.632723818
478	5.632137059
479	5.631636528
480	5.630803091
481	5.63026886
482	5.629449898
483	5.628896717
484	5.628430508
485	5.627542149
486	5.627136647
487	5.626066835
488	5.625652859
489	5.624788858
490	5.624326211
491	5.623091866
492	5.622341638
493	5.621671344
494	5.620915872
495	5.62017758
496	5.619691129
497	5.619214385
498	5.618570772
499	5.618150981
500	5.616819457
501	5.616369796
502	5.615897277
503	5.614785689
504	5.613864123
505	5.612833466
506	5.612462281
507	5.612001025
508	5.611510713
509	5.611068195
510	5.610445076
511	5.6097053
512	5.609063629
513	5.608601067
514	5.607638565
515	5.60707921
516	5.606165065
517	5.605762843
518	5.605112654
519	5.604635914
520	5.604215615
521	5.60333491
522	5.602600125
523	5.601876441
524	5.601342228
525	5.600949241
526	5.600631404
527	5.600087544
528	5.599435156
529	5.598886651
530	5.598535024
531	5.597841632
532	5.596947953
533	5.596472647
534	5.595619706
535	5.594878255
536	5.594454737
537	5.593418017
538	5.592766578
539	5.592394659
540	5.591823711
541	5.591174073
542	5.590758326
543	5.589975135
544	5.589651137
545	5.588932085
546	5.587224205
547	5.586844727
548	5.586227437
549	5.585729964
550	5.584990089
551	5.584510771
552	5.583782516
553	5.58340031
554	5.582634545
555	5.582233896
556	5.581525391
557	5.581121625
558	5.580660258
559	5.580175524
560	5.579907457
561	5.579411601
562	5.578806097
563	5.578326338
564	5.577660116
565	5.577051871
566	5.576396416
567	5.575778115
568	5.575241819
569	5.574376154
570	5.574062624
571	5.573514782
572	5.573182706
573	5.572677458
574	5.572188644
575	5.571836926
576	5.571336295
577	5.570743979
578	5.570200096
579	5.569866429
580	5.569368417
581	5.568970192
582	5.568344498
583	5.56788359
584	5.567327854
585	5.566708104
586	5.56622011
587	5.56560805
588	5.564979344
589	5.564419669
590	5.56381114
591	5.563184766
592	5.562528618
593	5.561975735
594	5.561414389
595	5.560921299
596	5.560568584
597	5.560071902
598	5.559764209
599	5.559295215
600	5.558749822
601	5.558518439
602	5.558183982
603	5.557650024
604	5.557116651
605	5.556663344
606	5.556217607
607	5.555788303
608	5.555251797
609	5.554612973
610	5.553881841
611	5.55353347
612	5.552799794
613	5.551578698
614	5.550821094
615	5.550099368
616	5.549434706
617	5.548815841
618	5.548029093
619	5.54745138
620	5.547045301
621	5.546726923
622	5.546303333
623	5.545821747
624	5.545527013
625	5.545014758
626	5.54423492
627	5.543653536
628	5.543384656
629	5.542702073
630	5.542052395
631	5.541492012
632	5.541150219
633	5.54067071
634	5.540118396
635	5.539599215
636	5.539031101
637	5.538344779
638	5.537854439
639	5.537657229
640	5.537103365
641	5.536502636
642	5.535970819
643	5.535618511
644	5.534976949
645	5.534463165
646	5.53418788
647	5.533650316
648	5.532985011
649	5.532719267
650	5.531935665
651	5.531437726
652	5.53064956
653	5.52995977
654	5.529492188
655	5.529046502
656	5.528451363
657	5.527679058
658	5.527281235
659	5.526833265
660	5.526444377
661	5.525837879
662	5.525345112
663	5.524621628
664	5.524099785
665	5.523633351
666	5.523059988
667	5.522602273
668	5.5222576
669	5.521841193
670	5.521350488
671	5.52100282
672	5.52064561
673	5.520256814
674	5.520001028
675	5.519259192
676	5.518657908
677	5.518336008
678	5.518064529
679	5.517537521
680	5.517148467
681	5.516791006
682	5.516312073
683	5.515980257
684	5.515556836
685	5.514951039
686	5.514430796
687	5.513925672
688	5.513559277
689	5.512443981
690	5.512057582
691	5.511629631
692	5.511358728
693	5.51098004
694	5.510511481
695	5.50982091
696	5.509275607
697	5.508857143
698	5.508420343
699	5.508060514
700	5.507603591
701	5.507134926
702	5.506695419
703	5.506194309
704	5.505780625
705	5.505410121
706	5.504772585
707	5.504341883
708	5.503818133
709	5.503100151
710	5.50284057
711	5.502343245
712	5.501945735
713	5.501297884
714	5.500838683
715	5.500243802
716	5.499762764
717	5.499228505
718	5.498429487
719	5.498007051
720	5.497535414
721	5.497289365
722	5.497083255
723	5.496503963
724	5.496066271
725	5.495765564
726	5.495203315
727	5.494634048
728	5.49424195
729	5.493810942
730	5.493427968
731	5.492994776
732	5.492665598
733	5.492398061
734	5.492007255
735	5.491374642
736	5.49097684
737	5.490485684
738	5.489714694
739	5.489016393
740	5.488583951
741	5.48814869
742	5.487812836
743	5.487531714
744	5.487376332
745	5.487027151
746	5.486583027
747	5.486013257
748	5.485598807
749	5.485008066
750	5.484629777
751	5.484299855
752	5.483661726
753	5.483324394
754	5.482611023
755	5.482144265
756	5.48177555
757	5.481354331
758	5.480790964
759	5.480435821
760	5.480138388
761	5.479689989
762	5.479221036
763	5.478819849
764	5.478629095
765	5.478093202
766	5.477639434
767	5.476921664
768	5.476587614
769	5.475989453
770	5.475650107
771	5.475445261
772	5.474503406
773	5.474138479
774	5.473274211
775	5.472607058
776	5.472279627
777	5.471951368
778	5.471444085
779	5.470766331
780	5.470237412
781	5.469707187
782	5.46889869
783	5.468760428
784	5.468219192
785	5.467876071
786	5.467456456
787	5.467036803
788	5.466894539
789	5.466081453
790	5.465461541
791	5.464873826
792	5.464541132
793	5.464165378
794	5.463657982
795	5.46337367
796	5.463135009
797	5.462700497
798	5.462365702
799	5.462046054
800	5.461650356
801	5.461102333
802	5.460647461
803	5.460056561
804	5.459709326
805	5.459279858
806	5.458828463
807	5.458562964
808	5.458213257
809	5.457971686
810	5.457467528
811	5.457057588
812	5.456793588
813	5.45642965
814	5.456231143
815	5.455952869
816	5.455565897
817	5.455142745
818	5.454761343
819	5.45447662
820	5.454289494
821	5.453916457
822	5.453356364
823	5.45295271
824	5.452535244
825	5.452048791
826	5.45157906
827	5.451223167
828	5.450718946
829	5.450390478
830	5.450197272
831	5.449974756
832	5.44959108
833	5.449089607
834	5.448726038
835	5.448116242
836	5.447887584
837	5.447526498
838	5.447188458
839	5.446752822
840	5.446264572
841	5.445738963
842	5.445237414
843	5.444955494
844	5.444390461
845	5.444077887
846	5.443801181
847	5.443468898
848	5.442824
849	5.442315784
850	5.441908294
851	5.441555396
852	5.441146685
853	5.440679977
854	5.440349275
855	5.439940702
856	5.439558746
857	5.439087356
858	5.438763956
859	5.438328321
860	5.438100504
861	5.437685697
862	5.437541789
863	5.437100443
864	5.436866182
865	5.436489534
866	5.436001684
867	5.435487807
868	5.435157065
869	5.43481152
870	5.434449942
871	5.434085002
872	5.433816359
873	5.433562753
874	5.433377876
875	5.433136026
876	5.432741081
877	5.432439743
878	5.432166115
879	5.431671726
880	5.431176377
881	5.430883176
882	5.4305119
883	5.430172734
884	5.429691968
885	5.429233686
886	5.428937189
887	5.428295976
888	5.427910915
889	5.427523533
890	5.42730179
891	5.426865021
892	5.426585458
893	5.426163242
894	5.425944697
895	5.425583451
896	5.425244699
897	5.424957263
898	5.424640109
899	5.424189022
900	5.423807958
901	5.42334085
902	5.422963251
903	5.422491829
904	5.422124163
905	5.421784554
906	5.421500914
907	5.421109099
908	5.420840302
909	5.420406286
910	5.420160889
911	5.419838913
912	5.419631556
913	5.419347375
914	5.418775097
915	5.418420582
916	5.41796975
917	5.417610792
918	5.417105904
919	5.416764047
920	5.416296181
921	5.416001364
922	5.415749089
923	5.415338581
924	5.415163745
925	5.414765362
926	5.414258122
927	5.414043284
928	5.413635904
929	5.413066559
930	5.412490246
931	5.411907457
932	5.411395382
933	5.411160614
934	5.410882703
935	5.410284875
936	5.409976631
937	5.4096168
938	5.409355202
939	5.409099009
940	5.408700575
941	5.408226635
942	5.407992716
943	5.4075112
944	5.407147938
945	5.406704077
946	5.406253561
947	5.406022684
948	5.405586296
949	5.405270052
950	5.405027153
951	5.404710069
952	5.404480586
953	5.404106043
954	5.403717159
955	5.403223123
956	5.402797638
957	5.402567218
958	5.402205752
959	5.401892844
960	5.401295177
961	5.400998426
962	5.400637044
963	5.400359547
964	5.400112501
965	5.399839218
966	5.39954205
967	5.399332105
968	5.399096161
969	5.398668632
970	5.398448671
971	5.398204869
972	5.397812682
973	5.397459675
974	5.396919608
975	5.396692922
976	5.396490799
977	5.3960769
978	5.395831072
979	5.395473607
980	5.395047616
981	5.394574248
982	5.394343819
983	5.393848088
984	5.393638147
985	5.393321075
986	5.393003711
987	5.392770992
988	5.3924489
989	5.392196843
990	5.391770438
991	5.391525059
992	5.391168328
993	5.390705264
994	5.390503557
995	5.390221173
996	5.389907357
997	5.389578321
998	5.389355257
999	5.388977369
